purpose,h,arrival,departure
shopping,14.0,0.0077155198778881,0.007710832525224304
shopping,15.0,0.010720411909443674,0.01200576776921876
shopping,16.0,0.012219262517448752,0.011279423918173525
shopping,17.0,0.010658371206031036,0.011406770758406837
shopping,18.0,0.00878218069095025,0.006268502546202792
shopping,19.0,0.004159244845084036,0.0037976039511458826
shopping,20.0,0.0016339928894908429,0.001458200921210437
shopping,21.0,0.00013162469443631113,0.00013162469443631113
shopping,23.0,4.6900070704906436e-05,4.6900070704906436e-05
transport,5.0,2.290254143892048e-05,0.00020345995387512566
transport,6.0,0.00077621364664492,0.0009745831776514403
transport,7.0,0.00493655376873111,0.005780485239535558
transport,8.0,0.009443522882150543,0.010058128664514929
transport,9.0,0.002570314182676735,0.0007834481193188153
transport,10.0,0.000536879183389612,0.0007018452117038378
transport,11.0,0.001375915560728073,0.0014368417602116934
transport,12.0,0.0018892834411850855,0.002336996776242184
transport,13.0,0.004931624499408689,0.004913543894880747
transport,14.0,0.005400176234166046,0.006099041593655714
transport,15.0,0.004767009068529327,0.00471850688720993
transport,16.0,0.005451729994006418,0.004447042884372975
transport,17.0,0.003204988941659346,0.003385219155492408
transport,18.0,0.0015616591156974295,0.0014473933779791327
transport,19.0,0.001485092815888085,0.0012693313004611987
transport,20.0,0.000541770822876227,0.0004903273431060189
transport,21.0,0.0003356954030374241,0.0002557405666160803
transport,22.0,0.00015519386208610796,0.0004768657307853135
transport,23.0,0.00042463455519905254,6.471776377210245e-05
transport,24.0,3.235888188605122e-05,0.0
work,0.0,7.546092640103648e-05,7.546092640103648e-05
work,1.0,3.509796196036578e-05,3.509796196036578e-05
work,3.0,0.0003067124826837801,0.0003067124826837801
work,4.0,0.0013133648447880345,0.0027450712960117437
work,5.0,0.00832105375226975,0.013079377085131329
work,6.0,0.015569380474369319,0.0199154133906448
work,7.0,0.030529728396353154,0.03168521491714432
work,8.0,0.020442269614596435,0.014743707732709811
work,9.0,0.008825675698500748,0.0045054413524583704
work,10.0,0.0021318482901878863,0.0011048497678043038
work,11.0,0.0024972646057694176,0.002277825020974088
work,12.0,0.0022261685525185905,0.002480131601423932
work,13.0,0.003984273678127223,0.0047731733391308635
work,14.0,0.002585669036308744,0.0014673319236510236
work,15.0,0.0015992205539399154,0.0020605110695543693
work,16.0,0.0017966478733878427,0.0011269557016860019
work,17.0,0.0004245945487096253,0.0004245945487096253
work,18.0,0.0005895616306886951,0.0011468593857525535
work,19.0,0.000884969108766054,0.00029257339174183
work,20.0,0.00023805954975847252,0.00045037789415795196
work,21.0,0.0007786951902300536,0.0007677464658607624
work,22.0,0.0003087104852777149,0.0
work,23.0,0.00019959819337330375,0.00019959819337330375
work_business,0.0,0.0,7.546092640103648e-05
work_business,1.0,0.0,2.024718673850995e-05
work_business,2.0,0.0,0.00012918033726232915
work_business,3.0,0.0,7.546092640103648e-05
work_business,4.0,9.570811313954642e-05,0.0
